bits,rating,average,size,inX,inY,outX,outY,expX,expY,exactX,exactY,diff,errsize,errangle,score,cycles
14,exact,0.231119083,0x00,0x3BF4,0x3023,0xC79E,0xA046,0xC79E,0xA046,199.6191382,160.275387,0,0.001070934,0.2408159,0.001089515,1167
15,score,0.00737039055,0x00,0xC008,0x0537,0x00D9,0x146D,0x00D9,0x14CD,-255.153555,20.80056155,96,0.01226038,300.928,0.03548013,1093
15,size,0.00293076716,0x00,0x02F0,0x4010,0x0BF6,0xFFB0,0x0BBA,0xFFBB,11.72621553,255.7312962,71,0.01284744,190.563,0.02755138,1253
15,angle,57.5375192,0x00,0xC008,0x0F17,0x06C7,0x3A66,0x06D7,0x3AC7,-249.1614314,58.77568451,113,0.01044527,307.1946,0.03414856,1113
15,diff,23.78981,0x00,0x1937,0x3FF8,0x5D86,0xEE48,0x5DE1,0xEE2A,93.87872635,238.1654566,121,0.008707454,300.5607,0.03189887,1088
15,cycles,1291.08182,0x00,0xC0F1,0x80F1,0x8E3D,0x1AAC,0x8E32,0x1AB0,-113.8065656,-229.3121576,15,0.002199145,38.08734,0.005137983,1453
15,exact,0.190059904,0x00,0x5955,0x7D10,0x94CC,0xD050,0x94CC,0xD050,148.798824,208.3144497,0,0.001062272,0.3647766,0.001090419,1390
16,score,0.00737686059,0x00,0x8010,0x0A6F,0x00D9,0x146D,0x00D9,0x14CF,-255.152924,20.80830056,98,0.01226038,307.1841,0.03596286,1080
16,size,0.00293293309,0x00,0x05E0,0x8000,0x0BFC,0x0050,0x0BBD,0x0045,11.73764285,-255.730772,74,0.01241921,200.2119,0.02786766,1084
16,angle,57.5933005,0x00,0x8010,0x1E2F,0x06C7,0x3A66,0x06D7,0x3AC8,-249.1597314,58.78289094,114,0.01044527,313.1604,0.03460888,1100
16,diff,23.8119921,0x00,0x35AF,0x7FF0,0x62B3,0xEC30,0x630E,0xEC0F,99.05284298,236.0604463,124,0.00757556,302.363,0.03090604,1071
16,cycles,1290.82958,0x00,0x81D1,0x8001,0x4C6D,0x498E,0x4C47,0x49B2,-179.7239573,-182.3055106,74,0.002142286,165,0.01487377,1132
16,exact,0.189970504,0x00,0x8010,0x6772,0x38EF,0xA0F5,0x38EF,0xA0F5,-199.0683551,160.9589699,0,0.001068116,0.2273178,0.001085656,1044
5,score,0.0997556395,0x01,0x0012,0x000B,0x00DA,0x0085,0x00DA,0x0085,0.8532818337,0.5214500095,0,0.2467338,153.1574,0.2585515,673
5,size,0.0867133108,0x01,0x000B,0x0012,0x0085,0x00DA,0x0085,0x00DA,0.5214500095,0.8532818337,0,0.2467338,153.1574,0.2585515,684
